lastname,firstname,birthDate,zodiac
Cheney,Lynne_V,14-08-41,Leo
Chenoweth,Kristin,24-07-68,Leo
Chernin,Peter,29-05-51,Gemini
Chernomyrdin,Viktor_S,09-04-38,Aries
Chernow,Ron,03-03-49,Pisces
Cherry,Bobby_Frank,20-06-30,Gemini
Chertoff,Michael,28-11-53,Sagittarius
Chestnut,Jacob_J,28-04-40,Taurus
Chiat,Jay,25-10-31,Scorpio
Child,Julia,15-08-12,Leo
Child,Lee,29-10-54,Scorpio
Childs,David_M,01-04-41,Aries
Chiles,Lawton,03-04-30,Aries
Chiluba,Frederick,30-04-43,Taurus
Chin,Denny,01-01-54,Capricorn
Chirac,Jacques,29-11-32,Sagittarius
Chivers,C_J,01-01-64,Capricorn
Cho,Margaret,05-12-68,Sagittarius
Cho,Seung-Hui,18-01-84,Capricorn
Choate,Pat,27-04-41,Taurus
Chomsky,Noam,07-12-28,Sagittarius
Chopin,Frederic,01-03-1810,Pisces
Chrebet,Wayne,14-08-73,Leo
Chretien,Jean,11-01-34,Capricorn
Christie,Agatha,15-09-1890,Virgo
Christie,Christopher_J,06-09-62,Virgo
Christie,Linford,02-04-60,Aries
Christopher,Nicholas,01-01-51,Capricorn
Christopher,Warren_M,27-10-25,Scorpio
Chu,Steven,28-02-48,Pisces
Chung,Connie,20-08-46,Leo
Chung,Johnny,01-01-55,Capricorn
Churchill,Caryl,03-09-38,Virgo
Ciampi,Carlo_Azeglio,09-12-20,Sagittarius
Cianci,Vincent_Jr,30-04-41,Taurus
Ciller,Tansu,24-05-46,Gemini
Cink,Stewart,21-05-73,Gemini
Cipel,Golan,01-01-68,Capricorn
Cipollini,Mario,22-03-67,Aries
Cisneros,Henry_G,11-06-47,Gemini
Claiborne,Craig,04-09-20,Virgo
Clancy,Tom,12-04-47,Aries
Clapton,Eric,30-03-45,Aries
Clarett,Maurice,29-10-83,Scorpio
Clark,Dick,30-11-29,Sagittarius
Clark,Laurel_Salton,10-03-61,Pisces
Clark,Mary_Ellen,25-12-62,Capricorn
Clark,Mary_Higgins,24-12-27,Capricorn
Clark,Wesley_K,23-12-44,Capricorn
Clarke,Arthur_C,16-12-17,Sagittarius
Clarke,Richard_A,27-10-50,Scorpio
Clarkson,Kelly,24-04-82,Taurus
Claybrook,Joan,12-06-37,Gemini
Cleland,Max,24-08-42,Virgo
Clemens,Roger,04-08-62,Leo
Clemens,Samuel_Langhorne,30-11-1835,Sagittarius
Cliburn,Van,12-07-34,Cancer
Clijsters,Kim,08-06-83,Gemini
Clinton,Bill,19-08-46,Leo
Clinton,Chelsea,27-02-80,Pisces
Clinton,Hillary_Rodham,26-10-47,Scorpio
Clooney,George,06-05-61,Taurus
Clooney,Rosemary,23-05-28,Gemini
Close,Chuck,05-07-40,Cancer
Close,Glenn,19-03-47,Pisces
Cobain,Kurt,20-02-67,Pisces
Cobb,Ty,18-12-1886,Sagittarius
Coburn,Tom,14-03-48,Pisces
Cochran,Johnnie_L_Jr,02-10-37,Libra
Cochran,Thad,07-12-37,Sagittarius
Cocteau,Jean,05-07-1889,Cancer
Codey,Richard_J,27-11-46,Sagittarius
Coelho,Tony,15-06-42,Gemini
Coetzee,J_M,09-02-40,Aquarius
Coetzer,Amanda,22-10-71,Libra
Cohen,Abby_Joseph,01-01-52,Capricorn
Cohen,Roger,02-08-55,Leo
Cohen,Sasha,26-10-84,Scorpio
Cohen,William_S,28-08-40,Virgo
Colangelo,Jerry,20-11-39,Scorpio
Colbert,Stephen,13-05-64,Taurus
Colby,William_E,04-01-20,Capricorn
Coleman,Cy,14-06-29,Gemini
Coleman,Derrick,21-06-67,Gemini
Coleman,Norm,17-08-49,Leo
Coleman,Ornette,09-03-30,Pisces
Coles,Laveranues,29-12-77,Capricorn
Coles,Robert,12-10-29,Libra
Colicchio,Tom,15-08-62,Leo
Collins,Joan,23-05-33,Gemini
Collins,Judy,01-05-39,Taurus
Collins,Kerry,30-12-70,Capricorn
Collins,Phil,30-01-51,Aquarius
Colon,Bartolo,24-05-73,Gemini
Coltrane,John,23-09-26,Virgo
Columbus,Christopher,01-01-1451,Capricorn
Combs,Sean,04-11-69,Scorpio
Comden,Betty,03-05-17,Taurus
Comey,James_B,14-12-60,Sagittarius
Condit,Philip_M,02-08-41,Leo
Cone,David,02-01-63,Capricorn
Conlon,James,18-03-50,Pisces
Connelly,Michael,21-07-56,Cancer
Conner,Dennis,16-09-42,Virgo
Connerly,Ward,15-06-39,Gemini
Connery,Sean,25-08-30,Virgo
Connors,Jimmy,02-09-52,Virgo
Conrad,Kent,12-03-48,Pisces
Conroy,Frank,15-01-36,Capricorn
Conroy,Pat,26-10-45,Scorpio
Constant,Emmanuel,27-10-56,Scorpio
Contreras,Jose,06-12-71,Sagittarius
Conyers,John_Jr,16-05-29,Taurus
Cook,Barbara,25-10-27,Scorpio
Cook,Robin,28-02-46,Pisces
Cooke,Alistair,20-11-08,Scorpio
Cooke,Jack_Kent,25-10-12,Scorpio
Cooper,Helene,22-04-66,Taurus
Coover,Robert,04-02-32,Aquarius
Copland,Aaron,14-11-00,Scorpio
Coppola,Francis_Ford,07-04-39,Aries
Coppola,Sofia,14-05-71,Taurus
Corea,Chick,12-06-41,Gemini
Corella,Angel,08-11-75,Scorpio
Corigliano,John,16-02-38,Aquarius
Cornell,Joseph,24-12-03,Capricorn
Cornwell,Patricia,09-06-56,Gemini
Cornyn,John,02-02-52,Aquarius
Correa,Rafael,06-04-63,Aries
Corretja,Alex,11-04-74,Aries
Corzine,Jon_S,01-01-47,Capricorn
Cosby,Bill,12-07-37,Cancer
Cosby,Ennis,15-04-69,Aries
Costa,Albert,25-06-75,Cancer
Costas,Bob,22-03-52,Aries
Costello,Elvis,25-08-54,Virgo
Costner,Kevin,18-01-55,Capricorn
Cote,Denise,01-01-46,Capricorn
Cottrell,Ted,13-06-47,Gemini
Couch,Tim,31-07-77,Leo
Coughlin,Tom,31-08-46,Virgo
Coulter,Ann,08-12-61,Sagittarius
Couples,Fred,03-10-59,Libra
Couric,Katie,07-01-57,Capricorn
Courier,Jim,17-08-70,Leo
Coutts,Russell,01-03-62,Pisces
Coward,Noel,16-12-1899,Sagittarius
Cowell,Alan,16-03-47,Pisces
Cowell,Simon,07-10-59,Libra
Cowher,Bill,08-05-57,Taurus
Cox,Archibald,17-05-12,Taurus
Cox,Bryan,17-02-68,Aquarius
Cox,Christopher,16-10-52,Libra
Craig,Gregory_B,04-03-45,Pisces
Craig,Larry_E,20-07-45,Cancer
Cramer,James_J,10-02-55,Aquarius
Craven,Wes,02-08-39,Leo
Crenshaw,Ben,11-01-52,Capricorn
Crew,Rudolph_F,10-09-50,Virgo
Crichton,Michael,23-10-42,Libra
Crist,Charlie,24-07-56,Leo
Crocker,Ryan_C,19-06-49,Gemini
Cronenberg,David,15-03-43,Pisces
Cronkite,Walter,04-11-16,Scorpio
Cronyn,Hume,18-07-11,Cancer
Crosby,Bing,03-05-03,Taurus
Cross,Howard,08-08-67,Leo
Crossette,Barbara,12-07-39,Cancer
Crouch,Stanley,14-12-45,Sagittarius
Crow,Elizabeth,29-07-46,Leo
Crow,Sheryl,11-02-62,Aquarius
Crowe,Cameron,13-07-57,Cancer
Crowe,Russell,07-04-64,Aries
Crudup,Billy,08-07-68,Cancer
Cruise,Tom,03-07-62,Cancer
Cruz,Celia,21-10-25,Libra
Cruz,Penelope,28-04-74,Taurus
Crystal,Billy,14-03-48,Pisces
Cuaron,Alfonso,28-11-61,Sagittarius
Cuban,Mark,31-07-58,Leo
Culkin,Macaulay,26-08-80,Virgo
Cullen,Charles,22-02-60,Pisces
Cumming,Alan,27-01-65,Aquarius
Cunningham,Merce,16-04-19,Aries
Cunningham,Michael,06-11-52,Scorpio
Cunningham,Randy,08-12-41,Sagittarius
Cuomo,Andrew_M,06-12-57,Sagittarius
Cuomo,Mario_M,15-06-32,Gemini
Currie,Betty,10-11-39,Scorpio
Curry,Jack,25-11-64,Sagittarius
Curtis,Jamie_Lee,22-11-58,Scorpio
Cusack,John,28-06-66,Cancer
Custer,George_Armstrong,05-12-1839,Sagittarius
Cutler,Bruce,29-04-48,Taurus
Cutler,Lloyd_N,01-01-17,Capricorn
Cyrus,Miley,23-11-92,Sagittarius
Dafoe,Willem,22-07-55,Cancer
Daft,Douglas_N,20-03-43,Pisces
Dahlan,Muhammad,01-01-61,Capricorn
Daily,Thomas_V,23-09-27,Virgo
Daldry,Stephen,02-05-60,Taurus
Daley,Suzanne,01-01-56,Capricorn
Daley,William_M,09-08-48,Leo
Dali,Salvador,11-05-04,Taurus
Dallek,Robert,16-05-34,Taurus
Damon,Matt,08-10-70,Libra
Danes,Claire,12-04-79,Aries
Daneyko,Ken,17-04-64,Aries
Danforth,John_C,05-09-36,Virgo
Daniele,Graciela,08-12-39,Sagittarius
Danielpour,Richard,28-01-56,Aquarius
Daniels,Jeff,19-02-55,Pisces
Daniels,Mitchell_E_Jr,07-04-49,Aries
Danner,Blythe,03-02-43,Aquarius
Danson,Ted,29-12-47,Capricorn
Danticat,Edwidge,19-01-69,Capricorn
Dargis,Manohla,01-01-61,Capricorn
Darnton,John,20-11-41,Scorpio
Darwin,Charles_Robert,12-02-1809,Aquarius
Daschle,Tom,09-12-47,Sagittarius
Dash,Samuel,27-02-25,Pisces
Daum,Meghan,01-01-70,Capricorn
Davenport,Lindsay,08-06-76,Gemini
David,Larry,02-07-47,Cancer
Davies,Dennis_Russell,16-04-44,Aries
Davies,Laura,05-10-63,Libra
Davis,Bette,05-04-08,Aries
Davis,Clive,04-04-32,Aries
Davis,Colin,25-09-27,Libra
Davis,Gray,26-12-42,Capricorn
Davis,Judy,23-04-55,Taurus
Davis,Lanny_J,12-12-45,Sagittarius
Davis,Marvin,28-08-25,Virgo
Davis,Miles,26-05-26,Gemini
Davis,Ossie,18-12-17,Sagittarius
Davis,Terrell,28-10-72,Scorpio
Dawkins,Richard,26-03-41,Aries
Day,Dorothy,08-11-1897,Scorpio
Day,Stockwell,16-08-50,Leo
Day-Lewis,Daniel,22-04-57,Taurus
Dayne,Ron,14-03-78,Pisces
de_Blasio,Bill,08-05-61,Taurus
de_Gaulle,Charles,22-11-1890,Scorpio
de_Keersmaeker,Anne_Teresa,01-01-60,Capricorn
de_Klerk,F_W,18-03-36,Pisces
de_Kooning,Willem,24-04-04,Taurus
De_La_Hoya,Oscar,04-02-73,Aquarius
de_la_Renta,Oscar,22-07-33,Cancer
de_Larrocha,Alicia,23-05-23,Gemini
de_Montebello,Philippe,16-05-36,Taurus
De_Niro,Robert,17-08-43,Leo
de_Palma,Brian,11-09-40,Virgo
Dean,Howard,17-11-48,Scorpio
Dean,James,08-02-31,Aquarius
Dean,Judith_Steinberg,09-05-53,Taurus
Dear,Noach,01-01-53,Capricorn
DeBakey,Michael_E,07-09-08,Virgo
Debevoise,Dickinson_R,23-04-24,Taurus
Debussy,Claude,22-08-1862,Leo
Decaro,Frank,06-11-62,Scorpio
Dedman,Bill,01-01-60,Capricorn
Dee,Ruby,27-10-22,Scorpio
Def,Mos,11-12-73,Sagittarius
Degas,Edgar,19-07-1834,Cancer
DeGeneres,Ellen,26-01-58,Aquarius
Del_Ponte,Carla,09-02-47,Aquarius
Del_Toro,Benicio,19-02-67,Pisces
Del_Tredici,David,01-01-37,Capricorn
Delay,Tom,08-04-47,Aries
DeLillo,Don,20-11-36,Scorpio
Dell,Michael_S,23-02-65,Pisces
Demirel,Suleyman,01-11-24,Scorpio
Dench,Judi,09-12-34,Sagittarius
Deneuve,Catherine,22-10-43,Libra
Dennehy,Brian,09-07-38,Cancer
Denver,John,31-12-43,Capricorn
Depalma,Anthony,12-10-04,Libra
Depardieu,Gerard,27-12-48,Capricorn
Depp,Johnny,09-06-63,Gemini
Deri,Aryeh,17-02-59,Aquarius
Dershowitz,Alan_M,01-09-38,Virgo
Deutch,John_M,27-07-38,Leo
Deutsch,Donny,22-11-57,Scorpio
Devers,Gail,19-11-66,Scorpio
DeVito,Danny,17-11-44,Scorpio
Dewhurst,Colleen,03-06-24,Gemini
DeWine,Mike,05-01-47,Capricorn
Diallo,Amadou,02-09-75,Virgo
Diamond,Neil,24-01-41,Aquarius
Diaz,Cameron,30-08-72,Virgo
Diaz,Ruben_Sr,22-04-47,Taurus
Dick,Philip_K,16-12-28,Sagittarius
Dickens,Charles,07-02-1812,Aquarius
Dickinson,Emily,10-12-1830,Sagittarius
Didion,Joan,05-12-34,Sagittarius
Diebenkorn,Richard,22-04-22,Taurus
Dietrich,Marlene,27-12-01,Capricorn
Diller,Barry,02-02-42,Aquarius
Dillon,Denis_E,21-12-33,Sagittarius
DiMaggio,Joe,25-11-14,Sagittarius
DiMarco,Chris,23-08-68,Virgo
Dimon,James,13-03-56,Pisces
Dingell,John_D,08-07-26,Cancer
Dinkins,David_N,10-07-27,Cancer
DioGuardi,Joseph_J,20-09-40,Virgo
Dion,Celine,30-03-68,Aries
Dipietro,Rick,19-09-81,Virgo
Disney,Roy_E,10-01-30,Capricorn
Disney,Walt,05-12-01,Sagittarius
Ditka,Mike,18-10-39,Libra
Dobbs,Lou,24-09-45,Libra
Dobrzynski,Judith_H,08-03-49,Pisces
Dobson,James_C,21-04-36,Taurus
Doby,Larry,13-12-23,Sagittarius
Doctoroff,Daniel_L,11-07-58,Cancer
Doctorow,E_L,06-01-31,Capricorn
Dodd,Christopher_J,27-05-44,Gemini
Dolan,Charles_F,16-10-26,Libra
Dolan,James_L,11-05-55,Taurus
Dolan,Timothy_M,06-02-50,Aquarius
Dole,Bob,22-07-23,Cancer
Dole,Elizabeth,29-07-36,Leo
Domenici,Pete_V,07-05-32,Taurus
Domi,Tie,01-11-69,Scorpio
Domingo,Placido,21-01-41,Aquarius
Donizetti,Gaetano,29-11-1797,Sagittarius
Dooling,Richard,01-01-54,Capricorn
Dorfman,Ariel,06-05-42,Taurus
Dorfman,Dan,24-10-31,Scorpio
Dorgan,Byron_L,14-05-42,Taurus
Doria,Joseph_V_Jr,28-06-46,Cancer
Dos_Santos,Jose_Eduardo,28-08-42,Virgo
Dostoyevsky,Fyodor,11-11-1821,Scorpio
Dostum,Abdul_Rashid,01-01-54,Capricorn
Dougherty,Philip_H,21-12-23,Sagittarius
Douglas,Kirk,09-12-16,Sagittarius
Douglas,Michael,25-09-44,Libra
Dowd,Maureen,14-01-52,Capricorn
Drabinsky,Garth_H,27-10-49,Scorpio
Dragila,Stacy,25-03-71,Aries
Drexler,Clyde,22-06-62,Cancer
Dreyfuss,Richard,29-10-47,Scorpio
Drudge,Matt,27-10-66,Scorpio
Du_Pont,John_E,22-11-38,Scorpio
Duane,Thomas_K,30-01-55,Aquarius
Dubus,Andre,11-08-36,Leo
Ducasse,Alain,13-09-56,Virgo
Duchamp,Marcel,28-07-1887,Leo
Duchovny,David,07-08-60,Leo
Dudley,Chris,22-02-65,Pisces
Duff,Patricia,12-04-54,Aries
Dugger,Celia_W,03-07-58,Cancer
Duhalde,Eduardo,05-10-41,Libra
Duisenberg,Wim,09-07-35,Cancer
Dukakis,Michael_S,03-11-33,Scorpio
Dukakis,Olympia,20-06-31,Gemini
Duke,David_E,01-07-50,Cancer
Duke,Doris,22-11-12,Scorpio
Dumas,Roland,23-08-22,Virgo
Duncan,Arne,06-11-64,Scorpio
Duncan,Isadora,27-05-1877,Gemini
Duncan,Tim,25-04-76,Taurus
Dungy,Tony,06-10-55,Libra
Dunlap,Albert_J,26-07-37,Leo
Dunn,Patricia_C,27-03-53,Aries
Dunne,Dominick,29-10-25,Scorpio
Dunne,John_Gregory,25-05-32,Gemini
Duquette,Jim,01-01-66,Capricorn
Durang,Christopher,02-01-49,Capricorn
Duras,Marguerite,04-04-14,Aries
Durbin,Richard_J,21-11-44,Scorpio
Durning,Charles,28-02-23,Pisces
Durso,Joseph,22-06-24,Cancer
Durst,Robert_A,01-01-43,Capricorn
Dutoit,Charles,07-10-36,Libra
Dutroux,Marc,06-11-56,Scorpio
Duval,David,09-11-71,Scorpio
Duvall,Robert,05-01-31,Capricorn
Dykstra,Gretchen,22-08-48,Leo
Dylan,Bob,24-05-41,Gemini
Dyson,Esther,14-07-51,Cancer
Eagleburger,Lawrence_S,01-08-30,Leo
Eaglen,Jane,04-04-60,Aries
Eakins,Thomas,25-07-1844,Leo
Earhart,Amelia,24-07-1897,Leo
Easterbrook,Gregg,03-03-53,Pisces
Eastwood,Clint,31-05-30,Gemini
Eaton,Robert_J,01-01-40,Capricorn
Ebadi,Shirin,21-06-47,Gemini
Ebb,Fred,08-04-28,Aries
Eberharter,Stephan,24-03-69,Aries
Ebersol,Dick,28-07-47,Leo
Ebersole,Christine,21-02-53,Pisces
Ebert,Roger,18-06-42,Gemini
Ecevit,Bulent,28-05-25,Gemini
Echeverria,Luis,17-01-22,Capricorn
Edberg,Stefan,19-01-66,Capricorn
Edelman,Marian_Wright,06-06-39,Gemini
Edelstein,David_N,16-02-10,Aquarius
Edgar,Jim,22-07-46,Cancer
Edison,Thomas_A,11-02-1847,Aquarius
Edwards,Blake,26-07-22,Leo
Edwards,Edwin_W,07-08-27,Leo
Edwards,Elizabeth,03-07-49,Cancer
Edwards,Herman,27-04-54,Taurus
Edwards,John,10-06-53,Gemini
Egan,Edward_M,02-04-32,Aries
Egan,Timothy,08-11-54,Scorpio
Egeland,Jan,12-09-57,Virgo
Eggers,Dave,12-03-70,Pisces
Egoyan,Atom,19-07-60,Cancer
Ehrenreich,Barbara,26-08-41,Virgo
Ehrlich,Robert_L_Jr,25-11-57,Sagittarius
Eichenwald,Kurt,28-06-61,Cancer
Eichmann,Adolf,19-03-06,Pisces
Einstein,Albert,14-03-1879,Pisces
Eisenhower,Dwight_David,14-10-1890,Libra
Eisenman,Peter,11-08-32,Leo
Eisenstein,Sergei,22-01-1898,Aquarius
Eisley,Howard,04-12-72,Sagittarius
Eisner,Michael_D,07-03-42,Pisces
Eizenstat,Stuart_E,15-01-43,Capricorn
Ekeus,Rolf,07-07-35,Cancer
ElBaradei,Mohamed,17-06-42,Gemini
Eldredge,Todd,28-08-71,Virgo
El-Hage,Wadih,25-07-60,Leo
Elias,Patrik,13-04-76,Aries
Eliasson,Olafur,01-01-67,Capricorn
Eliot,Thomas_Stearns,26-09-1888,Libra
Elizabeth_II,Queen_of_Great_Britain,21-04-26,Taurus
Elkin,Stanley,11-05-30,Taurus
Ellington,Duke,29-04-1899,Taurus
Elliott,Andrea,14-12-72,Sagittarius
Ellis,Bret_Easton,07-03-64,Pisces
Ellis,Joseph_J,18-07-43,Cancer
Ellis,Shaun,24-06-77,Cancer
Ellison,Lawrence_J,17-08-44,Leo
Ellison,Ralph,01-03-13,Pisces
Ellroy,James,04-03-48,Pisces
Ellsberg,Daniel,07-04-31,Aries
Els,Ernie,17-10-69,Libra
Elway,John,28-06-60,Cancer
Emanuel,Rahm,29-11-59,Sagittarius
Engel,Eliot_L,18-02-47,Aquarius
England,Lynndie_R,08-11-82,Scorpio
Engler,John,12-10-48,Libra
Enqvist,Thomas,13-03-74,Pisces
Ensign,John,25-03-58,Aries
Ensler,Eve,25-05-53,Gemini
Ephron,Nora,19-05-41,Taurus
Erbakan,Necmettin,29-10-26,Scorpio
Erdogan,Recep_Tayyip,26-02-54,Pisces
Erdrich,Louise,07-06-54,Gemini
Erekat,Saeb,28-04-55,Taurus
Eristoff,Andrew_S,20-02-63,Pisces
Erlanger,Steven,01-01-52,Capricorn
Errico,Melissa,23-03-70,Aries
Erving,Julius,22-02-50,Pisces
Eschenbach,Christoph,01-01-40,Capricorn
Esiason,Boomer,17-04-61,Aries
Espada,Pedro_Jr,20-10-53,Libra
Espy,Mike,30-11-53,Sagittarius
Esrey,William_T,01-01-40,Capricorn
Estefan,Gloria,01-09-57,Virgo
Estrada,Joseph,19-04-37,Aries
Estrada,Miguel,25-09-61,Libra
Eszterhas,Joe,23-11-44,Sagittarius
Etzioni,Amitai,04-01-29,Capricorn
Eugenides,Jeffrey,08-03-60,Pisces
Evans,Walker,03-11-03,Scorpio
Everett,Carl,03-06-71,Gemini
Everett,Rupert,29-05-59,Gemini
Evers,Medgar,02-07-25,Cancer
Everson,Mark_W,10-09-54,Virgo
Evert,Chris,21-12-54,Sagittarius
Ewing,Patrick,05-08-62,Leo
Eyre,Richard,28-03-43,Aries
Fahim,Muhammad,01-01-57,Capricorn
Faircloth,Lauch,14-01-28,Capricorn
Fairstein,Linda,05-05-47,Taurus
Faithfull,Marianne,29-12-46,Capricorn
Falco,Edie,05-07-63,Cancer
Faldo,Nick,18-07-57,Cancer
Falk,David,01-01-50,Capricorn
Falk,Peter,16-09-27,Virgo
Fallows,James,02-08-49,Leo
Faludi,Susan,18-04-59,Aries
Falwell,Jerry,11-08-33,Leo
Farrakhan,Louis,11-05-33,Taurus
Farrell,Colin,31-05-76,Gemini
Farrell,Herman_D_Jr,04-02-32,Aquarius
Farrell,Suzanne,16-08-45,Leo
Farrow,Mia,09-02-45,Aquarius
Fassbinder,Rainer_Werner,31-05-45,Gemini
Fassel,Jim,31-08-49,Virgo
Fastow,Andrew_S,22-12-61,Capricorn
Fauci,Anthony_S,24-12-40,Capricorn
Faulk,Marshall,26-02-73,Pisces
Faulkner,William,25-09-1897,Libra
Favre,Brett,10-10-69,Libra
,Fayed,Emad_al-,15-04-55,Aries
,Fayed,Mohamed_al-,27-01-33,Aquarius
Fayyad,Salam,02-04-52,Aries
Fazio,Vic,11-10-42,Libra
Federer,Roger,08-08-81,Leo
Feiffer,Jules,26-01-29,Aquarius
Feinberg,Kenneth_R,23-10-45,Libra
Feiner,Paul,14-02-56,Aquarius
Feingold,Russell_D,02-03-53,Pisces
Feinstein,Dianne,22-06-33,Cancer
Feinstein,Michael,07-09-56,Virgo
Feith,Douglas_J,16-07-53,Cancer
Feld,Eliot,05-07-42,Cancer
Feldman,Morton,12-01-26,Capricorn
Feldman,Sandra,13-10-39,Libra
Feldshuh,Tovah,27-12-52,Capricorn
Fellini,Federico,20-01-20,Capricorn
Feltsman,Vladimir,08-01-52,Capricorn
Ferencz,Benjamin_B,11-03-20,Pisces
Ferguson,Niall,18-04-64,Aries
Ferraro,Geraldine_A,26-08-35,Virgo
Ferre,Gianfranco,15-08-44,Leo
Ferreira,Wayne,15-09-71,Virgo
Ferrell,Will,16-07-67,Cancer
Ferrero,Juan_Carlos,12-02-80,Aquarius
Fhimah,Al_Amin_Khalifa,04-04-56,Aries
Fiedler,Jay,29-12-71,Capricorn
Fieger,Geoffrey,23-12-50,Capricorn
Field,Sally,06-11-46,Scorpio
Fielder,Cecil,21-09-63,Virgo
Fields,C_Virginia,06-08-45,Leo
Fiennes,Ralph,22-12-62,Capricorn
Fierstein,Harvey,06-06-52,Gemini
Figgis,Mike,28-02-48,Pisces
Filkins,Dexter,01-01-61,Capricorn
Finley,Karen,01-01-56,Capricorn
Firth,Colin,10-09-60,Virgo
Fischer,Bobby,09-03-43,Pisces
Fischer,Joschka,12-04-48,Aries
Fischer,Stanley,15-10-43,Libra
Fischl,Eric,09-03-48,Pisces
Fish,Mardy,09-12-81,Sagittarius
Fish,Stanley,19-04-38,Aries
Fisher,Amy,21-08-74,Leo
Fisher,Carrie,21-10-56,Libra
Fisher,George_M_C,01-01-40,Capricorn
Fisk,Carlton,26-12-47,Capricorn
Fitzgerald,Ella,25-04-17,Taurus
Fitzgerald,F_Scott,24-09-1896,Libra
Fitzgerald,Patrick_J,22-12-60,Capricorn
Fitzgerald,Penelope,17-12-16,Sagittarius
Flake,Floyd_H,30-01-45,Aquarius
Flanders,Stephanie,05-08-68,Leo
Flaubert,Gustave,12-12-1821,Sagittarius
Flavin,Dan,01-04-33,Aries
Flay,Bobby,10-12-64,Sagittarius
Fleischer,Ari,13-10-60,Libra
Fleisher,Bruce,16-10-48,Libra
Fleiss,Heidi,30-12-65,Capricorn
Fleming,Renee,14-02-59,Aquarius
Fletcher,Ernie,12-11-52,Scorpio
Fleury,Theo,29-06-68,Cancer
Florio,Jim,29-08-37,Virgo
Florio,Steven_T,19-04-49,Aries
Flowers,Gennifer,24-01-50,Aquarius
Flutie,Doug,23-10-62,Libra
Flynt,Larry,01-11-42,Scorpio
Fo,Dario,24-03-26,Aries
Foley,Glenn,10-10-70,Libra
Foley,Mark_A,08-09-54,Virgo
Fonda,Jane,21-12-37,Sagittarius
Foner,Eric,07-02-43,Aquarius
Foote,Horton,14-03-16,Pisces
Forbes,Malcolm,19-08-19,Leo
Forbes,Malcolm_S_Jr,18-07-47,Cancer
Forbes,Michael_P,16-07-52,Cancer
Ford,Gerald_Rudolph_Jr,14-07-13,Cancer
Ford,Harrison,13-07-42,Cancer
Ford,Henry,30-07-1863,Leo
Ford,Richard,16-02-44,Aquarius
Ford,Tom,27-08-61,Virgo
Fordice,Kirk,10-02-34,Aquarius
Foreman,George,10-01-49,Capricorn
Forman,Milos,18-02-32,Aquarius
Forrest,Vernon,12-01-71,Capricorn
Forrester,Douglas_R,24-01-53,Aquarius
Forstmann,Theodore_J,13-02-40,Aquarius
Fortuyn,Pim,19-02-48,Pisces
Foss,Lukas,15-08-22,Leo
Fosse,Bob,23-06-27,Cancer
Fossella,Vito_J_Jr,09-03-65,Pisces
Fossett,Steve,22-04-44,Taurus
Foster,Jodie,19-11-62,Scorpio
Foster,Vincent_W_Jr,15-01-45,Capricorn
Fox_Quesada,Vicente,02-07-42,Cancer
Fox,Michael_J,09-06-61,Gemini
Foxman,Abraham_H,01-05-40,Taurus
Foxx,Jamie,13-12-67,Sagittarius
Franchitti,Dario,19-05-73,Taurus
Franco,Francisco,04-12-1892,Sagittarius
Franco,Itamar,28-06-30,Cancer
Franco,John,17-09-60,Virgo
Franey,Pierre,13-01-21,Capricorn
Frank,Anne,12-06-29,Gemini
Frank,Barney,31-03-40,Aries
Frank,Lawrence,23-08-70,Virgo
Frank,Pamela,20-06-67,Gemini
Frank,Robert_H,02-01-45,Capricorn
Frankel,Max,01-01-30,Capricorn
Franken,Al,21-05-51,Gemini
Frankenheimer,John,19-02-30,Pisces
Frankenthaler,Helen,12-12-28,Sagittarius
Franklin,Aretha,25-03-42,Aries
Franklin,Benjamin,17-01-1706,Capricorn
Franklin,John_Hope,02-01-15,Capricorn
Franks,Bob,21-09-51,Virgo
Franks,Gary_A,09-02-53,Aquarius
Franks,Tommy_R,17-06-45,Gemini
Fraschilla,Fran,30-08-58,Virgo
Fraser,C_Gerald,09-01-28,Capricorn
Frayn,Michael,08-09-33,Virgo
Frazier,Walt,29-03-45,Aries
Frears,Stephen,20-06-41,Gemini
Freedman,Samuel_G,01-01-55,Capricorn
Freeh,Louis_J,06-01-50,Capricorn
Freeman,Morgan,01-06-37,Gemini
Freni,Mirella,27-02-35,Pisces
Freston,Tom,22-11-45,Scorpio
Freud,Lucian,08-12-22,Sagittarius
Freud,Sigmund,06-05-1856,Taurus
Frey,James,12-09-69,Virgo
Friedan,Betty,04-02-21,Aquarius
Frieden,Thomas_R,01-01-60,Capricorn
Friedman,Kinky,01-11-44,Scorpio
Friedman,Milton,31-07-12,Leo
Friedman,Paul_L,20-02-44,Pisces
Friedman,Thomas_L,20-07-53,Cancer
Friel,Brian,09-01-29,Capricorn
Friendly,Fred_W,30-10-15,Scorpio
Frist,Bill,22-02-52,Pisces
Frost,Martin,01-01-42,Capricorn
Frost,Robert,26-03-1874,Aries
Frum,David,30-06-60,Cancer
Fry,Stephen,24-08-57,Virgo
Fugard,Athol,11-06-32,Gemini
Fuhrman,Mark,05-02-52,Aquarius
Fujimori,Alberto_K,28-07-38,Leo
Fukuda,Yasuo,16-07-36,Cancer
Fukuyama,Francis,27-10-52,Scorpio
Fuller,Bonnie,08-09-56,Virgo
Funk,Fred,14-06-56,Gemini
Furst,Alan,20-02-41,Pisces
Furyk,Jim,12-05-70,Taurus
